"plant_id","datetime","treatment","genotype","group","date","dap","solidity","sv_area","tv_area","extent_x","extent_y","height_above_bound","fw_biomass","dw_biomass","height_width_ratio","tiller_count","wue"
"Dp2AD000166",1387207722,33,"B100","B100-33","2013-12-16 09:28:42",20,0.21508262696,84938.3391068523,56227.2369586315,11.5209800876305,16.1233164169862,16.0778986242623,2.91882452984944,0.326666268321372,1.39553219448095,2.84678823224722,194.812704373514
"Dp2AA01099",1387207943,100,"B100","B100-100","2013-12-16 09:32:23",20,0.217984428076,165755.027847141,127427.247637904,19.0906122082813,17.5312679914273,17.4707109344621,5.95329868970865,0.684246926626492,0.915146708961142,4.5656761887122,252.675347327959
"Dr4AD000561",1387208161,33,"R102","R102-33","2013-12-16 09:36:01",20,0.214624998528,136874.815804068,59360.4200610089,15.4571887903689,17.5009894629447,17.4858501987034,4.8689155190793,0.55646384870876,1.13124387855044,3.85415399877863,318.313525125741
"Dp1AA01003",1387208307,100,"A10","A10-100","2013-12-16 09:38:27",20,0.181451278419,228149.936122398,168870.939344096,29.4912867420555,19.42367602159,17.4252931417382,8.29607887309996,0.960318771733298,0.590862422997947,5.79073039374304,330.173568918087
"Dr1AA000208",1387208381,100,"R20","R20-100","2013-12-16 09:39:41",20,0.188381787478,214426.6017259,167848.308464788,27.8108284112711,17.5464072556686,17.4707109344621,7.78080035498219,0.899598652855243,0.628198149156233,5.59569950290511,296.578978873997
"Dr7AD000863",1387208599,33,"R161","R161-33","2013-12-16 09:43:19",20,0.205870739119,122752.336504232,120734.595435576,20.1352214409311,14.3520225007539,13.0803243044846,4.33865006058947,0.493977677552154,0.649624060150376,4.79198718727327,290.194648946176
"Dr6AA000707",1387208744,100,"R133","R133-100","2013-12-16 09:45:44",20,0.198977793666,146580.509062263,97856.5509736508,19.5902079282443,17.516128727186,17.4707109344621,5.23334118232512,0.599407555493452,0.891808346213292,4.45847872979596,225.162072292262
"Dr3AD000477",1387208964,33,"R98","R98-33","2013-12-16 09:49:24",20,0.180196937514,150158.198756945,85763.3904120397,22.4061110771264,17.4858501987034,17.4707109344621,5.367674908437,0.615237363125723,0.77972972972973,4.73338967980089,338.19414134447
"Dr3AA000401",1387209113,100,"R98","R98-100","2013-12-16 09:51:53",20,0.197077492438,171451.810668674,89740.9842015068,22.8602890043654,17.5312679914273,17.4858501987034,6.16719931513296,0.709452851087108,0.764900662251656,4.94164169280255,271.284510551699
"Dp1AD000078",1387209332,33,"A10","A10-33","2013-12-16 09:55:32",20,0.139986721714,80440.1297825039,72814.2414937699,19.8021576276225,14.9121752776821,14.8818967491995,2.74992748428701,0.306763539361965,0.751529051987768,4.21958211993251,172.6183042543
"Dr2AA000301",1387209478,100,"R70","R70-100","2013-12-16 09:57:58",20,0.227269910344,244530.060988189,159492.457599622,26.3120412513822,17.7886354835294,17.4858501987034,8.91111354496385,1.0327940973613,0.664556962025317,5.76461339497615,359.074979424654
"Dr4AD000562",1387209697,33,"R102","R102-33","2013-12-16 10:01:37",20,0.217414769421,114469.368017992,54939.2686685459,13.1408813614498,17.5312679914273,17.4858501987034,4.02764432365319,0.457328943606269,1.33064516129032,3.23263594600281,253.812345937899
"Dp2AA000113",1387209842,100,"B100","B100-100","2013-12-16 10:04:02",20,0.208406291592,160446.381652963,129484.087066088,23.3296061958458,17.2436219708425,17.1982041781186,5.75397167011451,0.660758347344019,0.737183646982479,4.91146928649598,243.100578262065
"Dr8AA000911",1387209915,100,"R187","R187-100","2013-12-16 10:05:15",20,0.178624491881,200517.455222712,144134.963613139,26.0092559665562,17.5615465199099,17.4858501987034,7.25854503485574,0.83805639171342,0.672293364377183,5.384335989093,290.605007569148
"Dr7AD000864",1387210135,33,"R161","R161-33","2013-12-16 10:08:55",20,0.189340163653,117082.504979074,116289.909108252,19.9081324773116,16.1838734739514,16.1535949454688,4.12576139214701,0.468891001509776,0.811406844106464,4.39098657935361,264.29459363222
"Dp1AA000019",1387210283,100,"A10","A10-100","2013-12-16 10:11:23",20,0.170171189884,153831.546573968,115444.549431853,26.9933081422408,17.516128727186,17.4707109344621,5.5056003691887,0.631490418664979,0.647223780145822,5.05381226790107,246.524914381358
"Dr7AA000814",1387210356,100,"R161","R161-100","2013-12-16 10:12:36",20,0.168726913066,135106.4691258,138347.267615811,22.5423644552981,18.4850416386293,17.4252931417382,4.80251831344618,0.548639640872693,0.773002014775017,4.62386132955367,215.137689690765
