 ,Label,Circ.,AR,Round,Solidity
159,apple_241.jpg,0.356,2.050,0.488,0.773
160,apple_242.jpg,0.455,1.571,0.637,0.848
161,apple_243.jpg,0.422,1.871,0.534,0.838
162,apple_244.jpg,0.440,1.849,0.541,0.850
163,apple_245.jpg,0.410,2.102,0.476,0.842
164,apple_246.jpg,0.494,1.531,0.653,0.874
165,apple_247.jpg,0.456,2.050,0.488,0.893
166,apple_248.jpg,0.446,1.740,0.575,0.823
167,apple_249.jpg,0.466,1.609,0.622,0.852
168,apple_25.jpg,0.444,1.580,0.633,0.850
169,apple_250.jpg,0.470,1.603,0.624,0.855
170,apple_251.jpg,0.376,1.800,0.555,0.818
171,apple_252.jpg,0.428,1.807,0.553,0.843
172,apple_253.jpg,0.407,2.161,0.463,0.805
173,apple_254.jpg,0.380,2.379,0.420,0.807
174,apple_255.jpg,0.387,2.166,0.462,0.818
175,apple_256.jpg,0.363,2.385,0.419,0.801
176,apple_257.jpg,0.375,2.248,0.445,0.806
177,apple_258.jpg,0.397,2.023,0.494,0.819
178,apple_259.jpg,0.388,2.090,0.479,0.810
179,apple_26.jpg,0.361,2.082,0.480,0.795
180,apple_260.jpg,0.377,2.052,0.487,0.794
181,apple_261.jpg,0.404,2.017,0.496,0.816
182,apple_262.jpg,0.509,1.790,0.559,0.883
183,apple_263.jpg,0.353,2.196,0.455,0.808
184,apple_264.jpg,0.305,2.757,0.363,0.783
185,apple_265.jpg,0.333,2.255,0.443,0.755
186,apple_266.jpg,0.285,2.641,0.379,0.761
187,apple_267.jpg,0.314,2.867,0.349,0.805
188,apple_268.jpg,0.311,2.519,0.397,0.770
189,apple_269.jpg,0.315,2.511,0.398,0.773
190,apple_27.jpg,0.393,1.936,0.516,0.801
191,apple_270.jpg,0.318,2.693,0.371,0.781
192,apple_271.jpg,0.410,1.981,0.505,0.823
193,apple_272.jpg,0.305,2.525,0.396,0.765
194,apple_273.jpg,0.373,2.157,0.464,0.790
195,apple_274.jpg,0.356,2.672,0.374,0.834
196,apple_275.jpg,0.397,2.186,0.457,0.842
197,apple_276.jpg,0.408,2.088,0.479,0.855
198,apple_277.jpg,0.328,2.721,0.367,0.810
199,apple_278.jpg,0.311,2.620,0.382,0.762
200,apple_279.jpg,0.348,2.264,0.442,0.785
201,apple_28.jpg,0.474,1.727,0.579,0.866
202,apple_280.jpg,0.373,1.970,0.508,0.781
203,apple_281.jpg,0.462,1.830,0.547,0.874
204,apple_282.jpg,0.380,2.194,0.456,0.797
205,apple_283.jpg,0.347,2.369,0.422,0.791
206,apple_284.jpg,0.353,2.672,0.374,0.813
207,apple_285.jpg,0.406,2.030,0.493,0.810
208,apple_286.jpg,0.431,1.882,0.531,0.841
209,apple_287.jpg,0.370,2.086,0.479,0.781
210,apple_288.jpg,0.469,1.409,0.710,0.811
211,apple_289.jpg,0.400,2.073,0.482,0.813
212,apple_29.jpg,0.440,1.723,0.580,0.846
213,apple_290.jpg,0.447,1.958,0.511,0.877
214,apple_291.jpg,0.396,2.098,0.477,0.827
215,apple_292.jpg,0.365,2.171,0.461,0.822
216,apple_293.jpg,0.391,2.077,0.481,0.834
217,apple_294.jpg,0.328,2.513,0.398,0.773
218,apple_295.jpg,0.362,2.001,0.500,0.796
219,apple_296.jpg,0.389,2.122,0.471,0.830
220,apple_297.jpg,0.368,2.250,0.445,0.812
221,apple_298.jpg,0.392,2.211,0.452,0.842
222,apple_299.jpg,0.381,2.272,0.440,0.838
223,apple_3.jpg,0.350,2.012,0.497,0.779
224,apple_30.jpg,0.400,1.883,0.531,0.825
225,apple_300.jpg,0.373,1.908,0.524,0.795
226,apple_301.jpg,0.346,2.510,0.398,0.814
227,apple_302.jpg,0.384,1.957,0.511,0.822
228,apple_303.jpg,0.440,1.675,0.597,0.834
229,apple_304.jpg,0.364,2.473,0.404,0.844
230,apple_305.jpg,0.424,1.942,0.515,0.840
231,apple_306.jpg,0.386,2.129,0.470,0.806
232,apple_307.jpg,0.329,2.356,0.424,0.767
233,apple_308.jpg,0.499,1.701,0.588,0.888
234,apple_309.jpg,0.330,2.607,0.384,0.810
235,apple_31.jpg,0.369,2.154,0.464,0.799
236,apple_310.jpg,0.452,1.739,0.575,0.848
237,apple_311.jpg,0.376,2.306,0.434,0.814
238,apple_312.jpg,0.367,2.136,0.468,0.790
239,apple_313.jpg,0.392,2.085,0.480,0.808
240,apple_314.jpg,0.366,2.309,0.433,0.813
241,apple_315.jpg,0.447,1.920,0.521,0.871
242,apple_316.jpg,0.347,2.242,0.446,0.778
243,apple_317.jpg,0.358,2.200,0.455,0.785
244,apple_318.jpg,0.331,2.284,0.438,0.760
